"Country","Cases","New_cases","Deaths","New_deaths","Recovered","Last_update"
"United States","1025305","0","58034","0","83233",2020-05-06 09:31:12
"Spain","210773","0","23822","0","102548",2020-05-06 09:31:12
"Italy","201505","0","27359","0","68941",2020-05-06 09:31:12
"France","168935","0","23660","0","37409",2020-05-06 09:31:12
"United Kingdom","161145","0","21678","0","1918",2020-05-06 09:31:12
"Germany","159930","0","6320","0","114142",2020-05-06 09:31:12
"Turkey","114653","0","2992","0","38809",2020-05-06 09:31:12
"Russia","93558","0","867","0","8456",2020-05-06 09:31:12
"Iran","92584","0","5877","0","72439",2020-05-06 09:31:12
"China","88423","0","4632","0","81785",2020-05-06 09:31:12
"Brazil","71886","0","5017","0","14026",2020-05-06 09:31:12
"Canada","49817","0","2852","0","19054",2020-05-06 09:31:12
"Belgium","47334","0","7331","0","10943",2020-05-06 09:31:12
"Netherlands","38416","0","4566","0","3459",2020-05-06 09:31:12
"India","31324","0","1008","0","7747",2020-05-06 09:31:12
"Peru","31190","0","854","0","9179",2020-05-06 09:31:12
"Switzerland","29010","0","1699","0","15900",2020-05-06 09:31:12
"Portugal","24322","0","948","0","1389",2020-05-06 09:31:12
"Ecuador","24258","0","871","0","1189",2020-05-06 09:31:12
"Saudi Arabia","20077","0","152","0","2784",2020-05-06 09:31:12
"Ireland","19877","0","1159","0","N/A",2020-05-06 09:31:12
"Sweden","19621","0","2355","0","N/A",2020-05-06 09:31:12
"Israel","15589","0","208","0","7801",2020-05-06 09:31:12
"Mexico","15529","0","1434","0","2451",2020-05-06 09:31:12
"Austria","15314","0","569","0","12580",2020-05-06 09:31:12
"Singapore","14951","0","14","0","1128",2020-05-06 09:31:12
"Pakistan","14788","0","322","0","3233",2020-05-06 09:31:12
"Chile","14365","0","207","0","7710",2020-05-06 09:31:12
"Japan","13895","0","413","0","1069",2020-05-06 09:31:12
"Poland","12218","0","596","0","2655",2020-05-06 09:31:12
"Romania","11616","0","663","0","2017",2020-05-06 09:31:12
"South Korea","10752","0","244","0","8854",2020-05-06 09:31:12
"Denmark","7700","0","364","0","4489",2020-05-06 09:31:12
"United Arab Emirates","7265","0","43","0","1360",2020-05-06 09:31:12
"Norway","7112","0","165","0","N/A",2020-05-06 09:31:12
"Czech Republic","6900","0","194","0","1559",2020-05-06 09:31:12
"Indonesia","6760","0","590","0","747",2020-05-06 09:31:12
"Serbia","6630","0","125","0","870",2020-05-06 09:31:12
"Australia","6547","0","67","0","4124",2020-05-06 09:31:12
"Philippines","6459","0","428","0","613",2020-05-06 09:31:12
"Belarus","6264","0","51","0","514",2020-05-06 09:31:12
"Qatar","6015","0","9","0","555",2020-05-06 09:31:12
"Ukraine","5710","0","151","0","359",2020-05-06 09:31:12
"Malaysia","5425","0","89","0","3295",2020-05-06 09:31:12
"Dominican Republic","4964","0","235","0","416",2020-05-06 09:31:12
"Panama","4467","0","126","0","165",2020-05-06 09:31:12
"Colombia","3977","0","189","0","804",2020-05-06 09:31:12
"Finland","3868","0","98","0","2000",2020-05-06 09:31:12
"Luxembourg","3558","0","75","0","637",2020-05-06 09:31:12
"Egypt","3333","0","250","0","821",2020-05-06 09:31:12
"South Africa","3300","0","58","0","1055",2020-05-06 09:31:12
"Morocco","3046","0","143","0","350",2020-05-06 09:31:12
"Bangladesh","2948","0","101","0","85",2020-05-06 09:31:12
"Argentina","2941","0","136","0","737",2020-05-06 09:31:12
"Thailand","2792","0","47","0","1999",2020-05-06 09:31:12
"Algeria","2718","0","384","0","1099",2020-05-06 09:31:12
"Moldova","2548","0","70","0","478",2020-05-06 09:31:12
"Greece","2245","0","116","0","269",2020-05-06 09:31:12
"Kuwait","1995","0","9","0","367",2020-05-06 09:31:12
"Hungary","1984","0","199","0","267",2020-05-06 09:31:12
"Bahrain","1907","0","7","0","773",2020-05-06 09:31:12
"Croatia","1881","0","47","0","771",2020-05-06 09:31:12
"Iceland","1773","0","10","0","1362",2020-05-06 09:31:12
"Kazakhstan","1711","0","19","0","401",2020-05-06 09:31:12
"Uzbekistan","1627","0","5","0","261",2020-05-06 09:31:12
"Iraq","1574","0","82","0","1043",2020-05-06 09:31:12
"Estonia","1535","0","40","0","165",2020-05-06 09:31:12
