last_updated,provinces,cases,recovered,death,lat,long
2020-04-17,Aceh,5,4,1,4.225081892093766,96.90952274776174
2020-04-17,Sumatera Utara,79,12,9,2.1847792149105123,99.05788784892918
2020-04-17,Sumatera Barat,62,11,6,-0.8519143477257053,100.46680503029916
2020-04-17,Riau,26,9,4,0.5105258491811052,101.81289195391142
2020-04-17,Jambi,8,0,0,-1.6177499996423312,103.59931999973588
2020-04-17,Sumatera Selatan,54,5,2,-3.213346821849744,104.17041944464856
2020-04-17,Bengkulu,4,0,1,-3.7911599999922694,102.26311999971767
2020-04-17,Kepulauan Bangka Belitung,6,0,1,-2.2529564111524327,105.98694808180812
2020-04-17,Lampung,26,10,5,-4.918073087438925,105.01831305094686
2020-04-17,Kepulauan Riau,58,5,7,3.9159472411462137,108.20222888881388
2020-04-17,DKI Jakarta,2815,204,246,-6.171480000380943,106.82648999970596
2020-04-17,Jawa Barat,632,41,56,-6.919980215676874,107.60280789771438
2020-04-17,Jawa Tengah,304,36,41,-7.258970382933987,110.201112529175
2020-04-17,Daerah Istimewa Yogyakarta,64,25,7,-7.895013815160975,110.4453669711082
2020-04-17,Jawa Timur,522,94,46,-7.720113018739567,112.73367880118164
2020-04-17,Banten,311,9,34,-6.456181598923129,106.10919706896232
2020-04-17,Bali,124,36,2,-8.369743261086477,115.1316509954286
2020-04-17,Nusa Tenggara Barat,51,2,2,-8.606652084111358,117.50686245225263
2020-04-17,Nusa Tenggara Timur,1,0,0,-8.604843331946174,121.14182917026828
2020-04-17,Kalimantan Barat,21,5,3,-0.0859012339120799,111.12076240064371
2020-04-17,Kalimantan Tengah,35,8,2,-1.6343400452136536,113.18104785169665
2020-04-17,Kalimantan Selatan,74,6,6,-2.4497791372641027,115.3113078341141
2020-04-17,Kalimantan Timur,44,10,1,0.46104622699002373,116.47085839332128
2020-04-17,Kalimantan Utara,47,2,1,2.888820960580607,116.21671830879166
2020-04-17,Sulawesi Utara,18,5,2,1.2860976870791814,124.53537884973578
2020-04-17,Sulawesi Tengah,24,2,3,-1.4592149539219137,120.44959250038356
2020-04-17,Sulawesi Selatan,332,43,23,-3.7471157118016927,120.16115770364496
2020-04-17,Sulawesi Tenggara,27,4,1,-4.1328039709672435,122.0786780559111
2020-04-17,Gorontalo,4,0,0,0.5370700003394442,123.06184000014996
2020-04-17,Sulawesi Barat,7,1,1,-2.461902015116017,119.34347138338468
2020-04-17,Maluku,14,1,0,-3.1261193431769434,129.3604249999869
2020-04-17,Maluku Utara,4,2,0,0.8693370008694276,128.0159294419005
2020-04-17,Papua,89,15,6,-5.000000000227514,140.0000000003746
2020-04-17,Papua Barat,5,0,1,-2.0417232818795226,132.96834171194757
2020-04-17,Indonesia,26,0,0,-0.9898181822734585,113.91586500022191
